Country name,year,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Regional indicator
Cyprus,2023,6.071,10.911078947368422,0.803,73.2,0.73,0.08907894736842105,0.84,Western Europe
Czech Republic,2022,6.695,10.637,0.944,69.175,0.908,0.093,0.831,Central and Eastern Europe
Czech Republic,2023,6.827,10.639,0.927,69.3,0.906,0.025,0.832,Central and Eastern Europe
Denmark,2022,7.545,10.997,0.97,71.375,0.93,0.222,0.203,Western Europe
Denmark,2023,7.504,10.996,0.916,71.5,0.923,0.089,0.184,Western Europe
Dominican Republic,2022,5.518,9.87,0.82,64.6,0.853,-0.086,0.656,Latin America and Caribbean
Dominican Republic,2023,5.921,9.9,0.86,64.8,0.867,-0.107,0.667,Latin America and Caribbean
Ecuador,2022,5.887,9.293,0.825,69.25,0.759,-0.083,0.866,Latin America and Caribbean
Ecuador,2023,5.852,9.307,0.782,69.5,0.731,-0.106,0.84,Latin America and Caribbean
Egypt,2022,4.024,9.456,0.769,63.75,0.733,-0.214,0.7710869565217391,Middle East and North Africa
Egypt,2023,3.881,9.48,0.73,64.0,0.625,-0.21,0.7710869565217391,Middle East and North Africa
El Salvador,2022,6.492,9.148,0.772,65.95,0.914,-0.116,0.621,Latin America and Caribbean
El Salvador,2023,6.482,9.167,0.744,66.3,0.942,-0.104,0.496,Latin America and Caribbean
Estonia,2022,6.357,10.541,0.933,69.875,0.904,0.136,0.39,Central and Eastern Europe
Estonia,2023,6.43,10.517,0.958,70.1,0.915,0.032,0.334,Central and Eastern Europe
Eswatini,2022,3.502,9.119,0.712,52.5,0.539,-0.149,0.774,Sub-Saharan Africa
Ethiopia,2022,3.628,7.775,0.74,61.1,0.674,0.357,0.793,Sub-Saharan Africa
Ethiopia,2023,4.093,7.809,0.67,61.5,0.631,0.212,0.8,Sub-Saharan Africa
Finland,2022,7.729,10.811,0.974,71.225,0.959,0.101,0.19,Western Europe
Finland,2023,7.699,10.808,0.947,71.3,0.943,-0.001,0.185,Western Europe
France,2022,6.614,10.737,0.866,72.4,0.798,-0.027,0.533,Western Europe
France,2023,6.557,10.742,0.85,72.5,0.776,0.01,0.558,Western Europe
Gabon,2022,5.14,9.543,0.775,58.575,0.699,-0.167,0.803,Sub-Saharan Africa
Gabon,2023,5.104,9.554,0.735,58.9,0.722,-0.16,0.822,Sub-Saharan Africa
Gambia,2022,4.279,7.662,0.588,57.9,0.599,0.36,0.884,Sub-Saharan Africa
Gambia,2023,4.691,7.686,0.651,58.2,0.727,0.43,0.852,Sub-Saharan Africa
Georgia,2022,5.293,9.743,0.754,65.075,0.821,-0.255,0.655,Commonwealth of Independent States
Georgia,2023,5.351,9.785,0.779,65.2,0.877,-0.268,0.706,Commonwealth of Independent States
